year_month,site_code,region,cost_center,spend_category,budget_usd,actual_spend_usd,variance_usd,variance_pct,vendor_name,po_number
2024-03,ATL01,AMER-East,OPS-FAC,Vendor Services,47782,43996,-3786,-7.92,EcoCool,PO100104
2024-03,CHI01,AMER-East,ENG-SVC,Maintenance Opex,232004,237958,5954,2.57,DataVolt,PO100105
2024-03,CHI01,AMER-East,OPS-DC,Power Opex,222214,249135,26921,12.11,FacilityPro,PO100106
2024-03,CHI01,AMER-East,ENG-SVC,Capex Replacement,380710,366435,-14275,-3.75,PowerGrid Mechanical,PO100107
2024-03,CHI01,AMER-East,FIN-CAPEX,Vendor Services,34369,35952,1583,4.61,PowerGrid Mechanical,PO100108
2024-03,DAL01,AMER-Central,OPS-DC,Maintenance Opex,311243,347818,36575,11.75,FacilityPro,PO100109
2024-03,DAL01,AMER-Central,OPS-DC,Power Opex,435266,403497,-31769,-7.3,PowerGrid Mechanical,PO100110
2024-03,DAL01,AMER-Central,OPS-DC,Capex Replacement,584219,609271,25052,4.29,DataVolt,PO100111
2024-03,DAL01,AMER-Central,OPS-FAC,Vendor Services,59887,68859,8972,14.98,CBRE Ops,PO100112
2024-03,DEN01,AMER-Central,OPS-DC,Maintenance Opex,64609,61382,-3227,-4.99,Schneider Services,PO100113
2024-03,DEN01,AMER-Central,OPS-DC,Power Opex,116745,111077,-5668,-4.86,FacilityPro,PO100114
2024-03,DEN01,AMER-Central,FIN-CAPEX,Capex Replacement,55378,63962,8584,15.5,Schneider Services,PO100115
2024-03,DEN01,AMER-Central,OPS-FAC,Vendor Services,16237,18370,2133,13.14,Vertiv Services,PO100116
2024-03,LAX01,AMER-West,OPS-DC,Maintenance Opex,183757,201748,17991,9.79,EcoCool,PO100117
2024-03,LAX01,AMER-West,OPS-DC,Power Opex,187870,180883,-6987,-3.72,FacilityPro,PO100118
2024-03,LAX01,AMER-West,OPS-FAC,Capex Replacement,161341,167255,5914,3.67,CBRE Ops,PO100119
2024-03,LAX01,AMER-West,OPS-DC,Vendor Services,73806,74213,407,0.55,PowerGrid Mechanical,PO100120
2024-03,MIA01,AMER-Central,OPS-DC,Maintenance Opex,76106,71303,-4803,-6.31,EcoCool,PO100121
2024-03,MIA01,AMER-Central,ENG-SVC,Power Opex,112300,112321,21,0.02,Schneider Services,PO100122
2024-03,MIA01,AMER-Central,OPS-FAC,Capex Replacement,131547,129289,-2258,-1.72,Schneider Services,PO100123
2024-03,MIA01,AMER-Central,OPS-FAC,Vendor Services,26628,25117,-1511,-5.67,CBRE Ops,PO100124
2024-03,NYC01,AMER-East,FIN-CAPEX,Maintenance Opex,148189,154421,6232,4.21,EcoCool,PO100125
2024-03,NYC01,AMER-East,OPS-DC,Power Opex,199553,199425,-128,-0.06,ABB Services,PO100126
2024-03,NYC01,AMER-East,OPS-FAC,Capex Replacement,160103,171722,11619,7.26,DataVolt,PO100127
2024-03,NYC01,AMER-East,ENG-SVC,Vendor Services,41327,47108,5781,13.99,DataVolt,PO100128
2024-03,PHX01,AMER-West,OPS-FAC,Maintenance Opex,47065,49595,2530,5.38,FacilityPro,PO100129
2024-03,PHX01,AMER-West,OPS-DC,Power Opex,130483,121521,-8962,-6.87,ABB Services,PO100130
2024-03,PHX01,AMER-West,OPS-DC,Capex Replacement,25602,29549,3947,15.42,PowerGrid Mechanical,PO100131
2024-03,PHX01,AMER-West,OPS-FAC,Vendor Services,11469,12041,572,4.99,ABB Services,PO100132
2024-03,SEA01,AMER-West,OPS-DC,Maintenance Opex,94446,109231,14785,15.65,ABB Services,PO100133
2024-03,SEA01,AMER-West,OPS-DC,Power Opex,79658,90637,10979,13.78,Vertiv Services,PO100134
2024-03,SEA01,AMER-West,FIN-CAPEX,Capex Replacement,135569,124938,-10631,-7.84,CBRE Ops,PO100135
2024-03,SEA01,AMER-West,OPS-FAC,Vendor Services,28920,32159,3239,11.2,ABB Services,PO100136
2024-03,SJC01,AMER-West,OPS-FAC,Maintenance Opex,198848,216636,17788,8.95,FacilityPro,PO100137
2024-03,SJC01,AMER-West,OPS-DC,Power Opex,458581,469060,10479,2.29,PowerGrid Mechanical,PO100138
2024-03,SJC01,AMER-West,OPS-DC,Capex Replacement,420408,416315,-4093,-0.97,Schneider Services,PO100139
2024-03,SJC01,AMER-West,OPS-FAC,Vendor Services,48125,51383,3258,6.77,Vertiv Services,PO100140
2024-03,TOR01,AMER-Central,FIN-CAPEX,Maintenance Opex,156190,161499,5309,3.4,CBRE Ops,PO100141
2024-03,TOR01,AMER-Central,ENG-SVC,Power Opex,144936,159891,14955,10.32,FacilityPro,PO100142
2024-03,TOR01,AMER-Central,ENG-SVC,Capex Replacement,188571,207839,19268,10.22,ABB Services,PO100143
2024-03,TOR01,AMER-Central,OPS-DC,Vendor Services,47122,53020,5898,12.52,FacilityPro,PO100144
2024-04,ASH01,AMER-East,OPS-FAC,Maintenance Opex,245780,282085,36305,14.77,FacilityPro,PO100145
2024-04,ASH01,AMER-East,OPS-DC,Power Opex,384902,423718,38816,10.08,ABB Services,PO100146
2024-04,ASH01,AMER-East,OPS-FAC,Capex Replacement,285013,288865,3852,1.35,CBRE Ops,PO100147
2024-04,ASH01,AMER-East,FIN-CAPEX,Vendor Services,65739,76153,10414,15.84,PowerGrid Mechanical,PO100148
2024-04,ATL01,AMER-East,ENG-SVC,Maintenance Opex,125044,143103,18059,14.44,Vertiv Services,PO100149
2024-04,ATL01,AMER-East,OPS-DC,Power Opex,104708,118200,13492,12.89,Schneider Services,PO100150
2024-04,ATL01,AMER-East,OPS-DC,Capex Replacement,224185,227726,3541,1.58,Vertiv Services,PO100151
2024-04,ATL01,AMER-East,OPS-DC,Vendor Services,37288,41514,4226,11.33,Schneider Services,PO100152
2024-04,CHI01,AMER-East,ENG-SVC,Maintenance Opex,119646,130630,10984,9.18,CBRE Ops,PO100153
2024-04,CHI01,AMER-East,OPS-FAC,Power Opex,216283,207476,-8807,-4.07,EcoCool,PO100154
2024-04,CHI01,AMER-East,OPS-DC,Capex Replacement,206133,190583,-15550,-7.54,Schneider Services,PO100155
2024-04,CHI01,AMER-East,ENG-SVC,Vendor Services,32904,36700,3796,11.54,PowerGrid Mechanical,PO100156
2024-04,DAL01,AMER-Central,ENG-SVC,Maintenance Opex,346173,346331,158,0.05,FacilityPro,PO100157
2024-04,DAL01,AMER-Central,ENG-SVC,Power Opex,380072,360660,-19412,-5.11,CBRE Ops,PO100158
2024-04,DAL01,AMER-Central,FIN-CAPEX,Capex Replacement,589833,575291,-14542,-2.47,ABB Services,PO100159
2024-04,DAL01,AMER-Central,FIN-CAPEX,Vendor Services,102112,112158,10046,9.84,Schneider Services,PO100160
2024-04,DEN01,AMER-Central,OPS-FAC,Maintenance Opex,48212,53538,5326,11.05,EcoCool,PO100161
2024-04,DEN01,AMER-Central,OPS-FAC,Power Opex,105166,102432,-2734,-2.6,EcoCool,PO100162
2024-04,DEN01,AMER-Central,OPS-FAC,Capex Replacement,39067,38322,-745,-1.91,FacilityPro,PO100163
2024-04,DEN01,AMER-Central,OPS-DC,Vendor Services,9313,10794,1481,15.9,PowerGrid Mechanical,PO100164
2024-04,LAX01,AMER-West,FIN-CAPEX,Maintenance Opex,163391,153696,-9695,-5.93,Vertiv Services,PO100165
2024-04,LAX01,AMER-West,OPS-FAC,Power Opex,178954,205221,26267,14.68,ABB Services,PO100166
2024-04,LAX01,AMER-West,OPS-FAC,Capex Replacement,222656,215037,-7619,-3.42,CBRE Ops,PO100167
2024-04,LAX01,AMER-West,OPS-FAC,Vendor Services,37045,42904,5859,15.82,Vertiv Services,PO100168
2024-04,MIA01,AMER-Central,OPS-DC,Maintenance Opex,59503,59134,-369,-0.62,FacilityPro,PO100169
2024-04,MIA01,AMER-Central,ENG-SVC,Power Opex,86303,96391,10088,11.69,EcoCool,PO100170
2024-04,MIA01,AMER-Central,OPS-DC,Capex Replacement,66395,75690,9295,14.0,PowerGrid Mechanical,PO100171
2024-04,MIA01,AMER-Central,FIN-CAPEX,Vendor Services,19862,18294,-1568,-7.89,Schneider Services,PO100172
2024-04,NYC01,AMER-East,OPS-DC,Maintenance Opex,151561,165752,14191,9.36,Schneider Services,PO100173
2024-04,NYC01,AMER-East,OPS-DC,Power Opex,234995,236056,1061,0.45,FacilityPro,PO100174
2024-04,NYC01,AMER-East,ENG-SVC,Capex Replacement,189749,180408,-9341,-4.92,ABB Services,PO100175
2024-04,NYC01,AMER-East,OPS-FAC,Vendor Services,25046,27663,2617,10.45,DataVolt,PO100176
2024-04,PHX01,AMER-West,OPS-DC,Maintenance Opex,74711,73292,-1419,-1.9,EcoCool,PO100177
2024-04,PHX01,AMER-West,OPS-FAC,Power Opex,113813,114420,607,0.53,ABB Services,PO100178
2024-04,PHX01,AMER-West,OPS-DC,Capex Replacement,50789,50534,-255,-0.5,PowerGrid Mechanical,PO100179
2024-04,PHX01,AMER-West,OPS-DC,Vendor Services,18762,19108,346,1.84,Vertiv Services,PO100180
2024-04,SEA01,AMER-West,OPS-DC,Maintenance Opex,104084,105085,1001,0.96,Schneider Services,PO100181
2024-04,SEA01,AMER-West,OPS-FAC,Power Opex,77055,86985,9930,12.89,DataVolt,PO100182
2024-04,SEA01,AMER-West,OPS-FAC,Capex Replacement,109077,100469,-8608,-7.89,DataVolt,PO100183
2024-04,SEA01,AMER-West,FIN-CAPEX,Vendor Services,39806,36684,-3122,-7.84,ABB Services,PO100184
2024-04,SJC01,AMER-West,OPS-FAC,Maintenance Opex,221311,238243,16932,7.65,Vertiv Services,PO100185
2024-04,SJC01,AMER-West,OPS-FAC,Power Opex,380613,409465,28852,7.58,PowerGrid Mechanical,PO100186
2024-04,SJC01,AMER-West,ENG-SVC,Capex Replacement,267616,288477,20861,7.8,FacilityPro,PO100187
2024-04,SJC01,AMER-West,OPS-FAC,Vendor Services,91734,84671,-7063,-7.7,DataVolt,PO100188
2024-04,TOR01,AMER-Central,OPS-FAC,Maintenance Opex,143719,157668,13949,9.71,DataVolt,PO100189
2024-04,TOR01,AMER-Central,ENG-SVC,Power Opex,135603,150145,14542,10.72,EcoCool,PO100190
2024-04,TOR01,AMER-Central,OPS-DC,Capex Replacement,215996,231232,15236,7.05,ABB Services,PO100191
2024-04,TOR01,AMER-Central,OPS-FAC,Vendor Services,36934,40589,3655,9.9,EcoCool,PO100192
2024-05,ASH01,AMER-East,ENG-SVC,Maintenance Opex,313604,306869,-6735,-2.15,ABB Services,PO100193
2024-05,ASH01,AMER-East,OPS-DC,Power Opex,386936,420706,33770,8.73,CBRE Ops,PO100194
2024-05,ASH01,AMER-East,FIN-CAPEX,Capex Replacement,576305,581951,5646,0.98,Schneider Services,PO100195
2024-05,ASH01,AMER-East,OPS-DC,Vendor Services,55707,62815,7108,12.76,Vertiv Services,PO100196
2024-05,ATL01,AMER-East,OPS-DC,Maintenance Opex,109800,120270,10470,9.54,PowerGrid Mechanical,PO100197
2024-05,ATL01,AMER-East,ENG-SVC,Power Opex,112148,129745,17597,15.69,FacilityPro,PO100198
2024-05,ATL01,AMER-East,OPS-DC,Capex Replacement,187975,179061,-8914,-4.74,DataVolt,PO100199
2024-05,ATL01,AMER-East,ENG-SVC,Vendor Services,34505,31951,-2554,-7.4,FacilityPro,PO100200
2024-05,CHI01,AMER-East,OPS-DC,Maintenance Opex,201484,206624,5140,2.55,EcoCool,PO100201
2024-05,CHI01,AMER-East,OPS-DC,Power Opex,249435,252529,3094,1.24,PowerGrid Mechanical,PO100202
2024-05,CHI01,AMER-East,ENG-SVC,Capex Replacement,161427,174884,13457,8.34,CBRE Ops,PO100203
2024-05,CHI01,AMER-East,FIN-CAPEX,Vendor Services,47546,48828,1282,2.7,Schneider Services,PO100204
2024-05,DAL01,AMER-Central,OPS-DC,Maintenance Opex,332055,363032,30977,9.33,Vertiv Services,PO100205
2024-05,DAL01,AMER-Central,OPS-FAC,Power Opex,424822,488749,63927,15.05,CBRE Ops,PO100206
2024-05,DAL01,AMER-Central,OPS-DC,Capex Replacement,489821,558510,68689,14.02,PowerGrid Mechanical,PO100207
2024-05,DAL01,AMER-Central,ENG-SVC,Vendor Services,77466,80715,3249,4.19,ABB Services,PO100208
2024-05,DEN01,AMER-Central,FIN-CAPEX,Maintenance Opex,52090,59432,7342,14.09,CBRE Ops,PO100209
2024-05,DEN01,AMER-Central,ENG-SVC,Power Opex,98374,109399,11025,11.21,Vertiv Services,PO100210
2024-05,DEN01,AMER-Central,OPS-DC,Capex Replacement,58928,67183,8255,14.01,ABB Services,PO100211
2024-05,DEN01,AMER-Central,FIN-CAPEX,Vendor Services,17815,17125,-690,-3.87,CBRE Ops,PO100212
2024-05,LAX01,AMER-West,OPS-FAC,Maintenance Opex,131649,146968,15319,11.64,EcoCool,PO100213
2024-05,LAX01,AMER-West,ENG-SVC,Power Opex,187942,213575,25633,13.64,PowerGrid Mechanical,PO100214
2024-05,LAX01,AMER-West,OPS-DC,Capex Replacement,143421,158209,14788,10.31,PowerGrid Mechanical,PO100215
2024-05,LAX01,AMER-West,OPS-DC,Vendor Services,37690,41573,3883,10.3,FacilityPro,PO100216
2024-05,MIA01,AMER-Central,OPS-DC,Maintenance Opex,44974,50927,5953,13.24,ABB Services,PO100217
2024-05,MIA01,AMER-Central,ENG-SVC,Power Opex,107815,109803,1988,1.84,FacilityPro,PO100218
2024-05,MIA01,AMER-Central,FIN-CAPEX,Capex Replacement,64463,66920,2457,3.81,Vertiv Services,PO100219
2024-05,MIA01,AMER-Central,ENG-SVC,Vendor Services,7874,7905,31,0.39,CBRE Ops,PO100220
2024-05,NYC01,AMER-East,OPS-FAC,Maintenance Opex,115396,118644,3248,2.81,FacilityPro,PO100221
2024-05,NYC01,AMER-East,OPS-DC,Power Opex,197463,208164,10701,5.42,ABB Services,PO100222
2024-05,NYC01,AMER-East,OPS-DC,Capex Replacement,196636,217329,20693,10.52,CBRE Ops,PO100223
2024-05,NYC01,AMER-East,OPS-DC,Vendor Services,36603,34501,-2102,-5.74,FacilityPro,PO100224
2024-05,PHX01,AMER-West,OPS-DC,Maintenance Opex,81838,76527,-5311,-6.49,Vertiv Services,PO100225
2024-05,PHX01,AMER-West,ENG-SVC,Power Opex,130828,142104,11276,8.62,FacilityPro,PO100226
2024-05,PHX01,AMER-West,OPS-DC,Capex Replacement,88571,96236,7665,8.65,DataVolt,PO100227
2024-05,PHX01,AMER-West,FIN-CAPEX,Vendor Services,18316,17814,-502,-2.74,DataVolt,PO100228
2024-05,SEA01,AMER-West,OPS-DC,Maintenance Opex,110190,112791,2601,2.36,FacilityPro,PO100229
2024-05,SEA01,AMER-West,OPS-DC,Power Opex,81063,88800,7737,9.54,PowerGrid Mechanical,PO100230
2024-05,SEA01,AMER-West,OPS-DC,Capex Replacement,109886,116475,6589,6.0,ABB Services,PO100231
2024-05,SEA01,AMER-West,OPS-DC,Vendor Services,34734,37665,2931,8.44,Schneider Services,PO100232
2024-05,SJC01,AMER-West,OPS-DC,Maintenance Opex,336440,313582,-22858,-6.79,DataVolt,PO100233
2024-05,SJC01,AMER-West,ENG-SVC,Power Opex,488304,452243,-36061,-7.38,PowerGrid Mechanical,PO100234
2024-05,SJC01,AMER-West,FIN-CAPEX,Capex Replacement,501489,513642,12153,2.42,Vertiv Services,PO100235
2024-05,SJC01,AMER-West,OPS-FAC,Vendor Services,115239,106987,-8252,-7.16,FacilityPro,PO100236
2024-05,TOR01,AMER-Central,OPS-DC,Maintenance Opex,159621,160744,1123,0.7,CBRE Ops,PO100237
2024-05,TOR01,AMER-Central,OPS-FAC,Power Opex,167639,183228,15589,9.3,Vertiv Services,PO100238
2024-05,TOR01,AMER-Central,OPS-DC,Capex Replacement,241680,229009,-12671,-5.24,Vertiv Services,PO100239
2024-05,TOR01,AMER-Central,OPS-DC,Vendor Services,50413,51251,838,1.66,Vertiv Services,PO100240
