asset_id,site_code,region,asset_type,manufacturer,model_number,serial_number,install_date,commission_date,expected_life_years,current_age_years,asset_condition,condition_score,criticality_level,capacity_rating,capacity_unit,replacement_cost_usd,depreciated_value_usd,asset_status,energy_efficiency_rating,last_maintenance_date
AST00013,CHI01,AMER-East,Generator,Cummins,CUM-GEN-234,SN89482413,2022-05-12,2022-05-24,15,3.1,Good,82.8,Medium,1779,kW,655713,542784,Active,C,2025-06-10
AST00014,DEN01,AMER-Central,UPS,Eaton,EAT-UPS-147,SN92165414,2018-07-02,2018-07-30,12,7.0,Warning,65.8,Medium,1054,kVA,114538,58859,Active,B,2025-06-25
AST00015,ASH01,AMER-East,Generator,Kohler,KOH-GEN-561,SN25833815,2014-04-20,2014-04-25,15,11.2,Critical,51.7,Medium,2028,kW,903094,341168,Active,C,2025-06-14
AST00016,SJC01,AMER-West,Cooling,Carrier,CAR-COO-970,SN74591416,2022-04-21,2022-05-04,10,3.2,Critical,81.9,High,286,Tons,187409,137433,Retired,C,
AST00017,SJC01,AMER-West,PDU,Eaton,EAT-PDU-340,SN73134717,2014-01-24,2014-03-01,14,11.4,Warning,56.3,High,634,Amps,116910,37578,Active,B,2025-06-15
AST00018,SEA01,AMER-West,UPS,Eaton,EAT-UPS-270,SN87468418,2014-08-06,2014-09-15,12,10.9,Critical,49.2,Low,774,kVA,133585,32468,Active,C,2025-06-12
AST00019,DEN01,AMER-Central,Generator,Kohler,KOH-GEN-745,SN98169119,2017-06-22,2017-08-09,15,8.0,Warning,74.2,High,2363,kW,432906,240503,Active,B,2025-06-19
AST00020,DAL01,AMER-Central,UPS,Vertiv,VER-UPS-605,SN17576620,2014-07-22,2014-08-23,12,10.9,Warning,58.1,Medium,439,kVA,251152,61043,Active,B,2025-06-16
AST00021,TOR01,AMER-Central,PDU,ABB,ABB-PDU-844,SN50269021,2013-07-30,2013-09-11,14,11.9,Warning,62.2,Low,859,Amps,66959,19529,Active,B,2025-06-22
AST00022,DEN01,AMER-Central,Cooling,Trane,TRA-COO-417,SN89018022,2022-12-28,2023-02-03,10,2.5,Good,84.2,High,386,Tons,78545,62181,Active,C,2025-06-17
AST00023,TOR01,AMER-Central,Chiller,York,YOR-CHI-771,SN69312823,2023-02-01,2023-03-29,11,2.4,Good,83.3,Medium,262,Tons,159353,130379,Active,A,2025-06-20
AST00024,MIA01,AMER-Central,Chiller,Trane,TRA-CHI-367,SN41487724,2022-10-04,2022-11-16,11,2.7,Good,82.9,High,535,Tons,187172,148886,Active,C,2025-05-24
AST00025,TOR01,AMER-Central,Generator,Cummins,CUM-GEN-954,SN45222825,2020-02-14,2020-03-21,15,5.4,Good,79.7,Medium,3432,kW,537426,376198,Standby,C,2025-06-09
AST00026,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-829,SN33516726,2014-09-04,2014-09-14,15,10.8,Warning,62.8,Low,2439,kW,350467,140186,Active,C,2025-06-01
AST00027,DEN01,AMER-Central,UPS,Schneider,SCH-UPS-866,SN79251727,2019-08-12,2019-09-09,12,5.9,Warning,67.5,Low,1133,kVA,196081,115742,Active,A,2025-05-17
AST00028,DAL01,AMER-Central,UPS,Eaton,EAT-UPS-610,SN96705528,2010-07-17,2010-08-06,12,15.0,Critical,36.7,Medium,858,kVA,176202,26430,Active,C,2025-06-26
AST00029,SJC01,AMER-West,UPS,Schneider,SCH-UPS-863,SN41839429,2019-04-21,2019-05-31,12,6.2,Good,77.1,High,652,kVA,124754,71040,Active,A,2025-06-21
AST00030,LAX01,AMER-West,Generator,Kohler,KOH-GEN-247,SN75827130,2010-05-27,2010-06-07,15,15.1,Critical,47.7,Medium,2843,kW,681896,109861,Active,A,2025-06-28
AST00031,DEN01,AMER-Central,Generator,Caterpillar,CAT-GEN-971,SN39964831,2018-02-24,2018-03-11,15,7.3,Good,76.2,High,2969,kW,851542,506194,Active,C,2025-01-21
AST00032,ASH01,AMER-East,Chiller,Daikin,DAI-CHI-397,SN65459432,2021-02-13,2021-02-24,11,4.4,Warning,60.7,Medium,293,Tons,227512,151674,Active,B,2025-05-25
AST00033,DAL01,AMER-Central,UPS,Schneider,SCH-UPS-259,SN29250633,2019-12-23,2020-02-20,12,5.5,Good,75.2,Medium,258,kVA,359544,222218,Active,B,2025-06-21
AST00034,SJC01,AMER-West,PDU,ABB,ABB-PDU-758,SN63943934,2018-09-06,2018-09-26,14,6.8,Good,76.8,Medium,553,Amps,51295,30532,Active,A,2025-05-21
AST00035,SJC01,AMER-West,UPS,Schneider,SCH-UPS-211,SN75791735,2018-09-27,2018-10-26,12,6.8,Warning,74.8,High,348,kVA,223272,117837,Active,B,2025-06-27
AST00036,ASH01,AMER-East,UPS,Vertiv,VER-UPS-995,SN90778936,2018-02-09,2018-03-03,12,7.4,Good,78.6,High,1071,kVA,347186,168770,Standby,B,2025-03-17
AST00037,DAL01,AMER-Central,Chiller,York,YOR-CHI-915,SN75934737,2020-05-19,2020-05-31,11,5.1,Critical,74.5,High,284,Tons,206416,126664,Retired,A,
AST00038,TOR01,AMER-Central,Chiller,York,YOR-CHI-132,SN35668738,2022-12-19,2023-01-04,11,2.5,Good,84.8,High,619,Tons,401974,325842,Active,A,2024-12-21
AST00039,DEN01,AMER-Central,Chiller,York,YOR-CHI-382,SN39289039,2012-11-11,2012-12-19,11,12.6,Critical,43.2,High,426,Tons,256672,38500,Retired,B,
AST00040,MIA01,AMER-Central,PDU,Schneider,SCH-PDU-928,SN82990340,2022-06-15,2022-07-08,14,3.0,Good,86.5,Medium,696,Amps,118744,97539,Standby,C,2025-04-25
AST00041,PHX01,AMER-West,Cooling,Trane,TRA-COO-617,SN27827441,2013-05-28,2013-07-12,10,12.1,Critical,25.0,High,116,Tons,68420,10263,Standby,C,2025-06-28
AST00042,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-280,SN21529442,2010-10-29,2010-12-07,15,14.7,Critical,44.4,High,1699,kW,928307,170189,Active,C,2025-06-19
AST00043,MIA01,AMER-Central,Cooling,Trane,TRA-COO-260,SN21801543,2010-07-10,2010-07-17,10,15.0,Critical,25.0,Low,207,Tons,91641,13746,Active,A,2025-06-03
AST00044,ASH01,AMER-East,Generator,Caterpillar,CAT-GEN-834,SN46589044,2014-12-22,2015-02-04,15,10.5,Warning,57.3,Medium,1625,kW,352991,147079,Standby,C,2025-05-14
AST00045,NYC01,AMER-East,Cooling,Stulz,STU-COO-884,SN25882345,2020-12-28,2021-02-03,10,4.5,Good,82.7,High,378,Tons,170510,106568,Active,C,2025-06-19
AST00046,LAX01,AMER-West,Chiller,York,YOR-CHI-637,SN33536246,2017-09-07,2017-10-31,11,7.8,Warning,61.4,Medium,557,Tons,259788,106276,Active,B,2025-05-10
AST00047,SJC01,AMER-West,PDU,Schneider,SCH-PDU-420,SN70186347,2018-01-29,2018-03-20,14,7.4,Good,81.0,Medium,549,Amps,121429,67942,Standby,A,2024-11-12
AST00048,ASH01,AMER-East,Cooling,Stulz,STU-COO-982,SN54898248,2012-08-29,2012-09-17,10,12.8,Critical,29.7,Low,171,Tons,97097,14564,Active,A,2025-06-20
AST00049,SJC01,AMER-West,Generator,Cummins,CUM-GEN-150,SN19384849,2023-07-01,2023-07-27,15,2.0,Good,98.0,Low,3361,kW,507897,451464,Active,B,2025-06-26
AST00050,NYC01,AMER-East,Cooling,Stulz,STU-COO-781,SN48995750,2014-09-12,2014-10-01,10,10.8,Critical,35.9,Medium,133,Tons,178632,26794,Active,C,2025-06-23
AST00051,ASH01,AMER-East,PDU,Schneider,SCH-PDU-983,SN56289451,2018-07-22,2018-08-30,14,6.9,Good,81.4,Low,972,Amps,117615,69308,Active,A,2025-06-22
AST00052,NYC01,AMER-East,Chiller,Daikin,DAI-CHI-469,SN90345152,2021-12-13,2022-01-28,11,3.5,Good,81.4,Medium,819,Tons,342866,251954,Active,C,2025-06-01
AST00053,CHI01,AMER-East,UPS,Eaton,EAT-UPS-157,SN47471053,2023-01-05,2023-02-04,12,2.5,Good,79.4,Medium,990,kVA,122217,100998,Active,B,2025-06-21
AST00054,NYC01,AMER-East,Chiller,York,YOR-CHI-929,SN28306254,2010-04-27,2010-05-10,11,15.2,Critical,25.0,High,790,Tons,345913,51886,Active,B,2025-06-25
AST00055,ASH01,AMER-East,UPS,Schneider,SCH-UPS-217,SN12005655,2011-05-28,2011-07-11,12,14.1,Critical,25.0,Medium,1146,kVA,224415,33662,Active,B,2025-05-25
AST00056,LAX01,AMER-West,UPS,Schneider,SCH-UPS-803,SN76502256,2021-02-22,2021-03-03,12,4.4,Good,77.4,High,1039,kVA,342764,238030,Standby,A,2025-04-17
AST00057,LAX01,AMER-West,PDU,ABB,ABB-PDU-534,SN24435657,2016-04-13,2016-05-09,14,9.2,Warning,64.5,Medium,846,Amps,138468,62640,Active,A,2025-06-24
AST00058,NYC01,AMER-East,Chiller,York,YOR-CHI-319,SN54755658,2021-01-28,2021-03-20,11,4.4,Warning,73.8,Low,243,Tons,198781,132520,Active,A,2025-06-07
AST00059,PHX01,AMER-West,UPS,Eaton,EAT-UPS-711,SN55596859,2018-05-18,2018-06-21,12,7.1,Warning,72.4,Low,606,kVA,113049,57309,Active,C,2025-06-21
AST00060,DAL01,AMER-Central,Chiller,York,YOR-CHI-279,SN53337460,2017-10-20,2017-11-03,11,7.7,Warning,65.7,Low,808,Tons,391967,163319,Standby,A,2025-06-18
AST00061,MIA01,AMER-Central,Generator,Kohler,KOH-GEN-115,SN15199161,2017-09-17,2017-10-07,15,7.8,Good,84.9,Low,2782,kW,898992,509428,Active,B,2025-05-24
AST00062,DAL01,AMER-Central,Chiller,York,YOR-CHI-259,SN29196262,2012-06-14,2012-07-08,11,13.0,Critical,37.9,High,813,Tons,310347,46552,Active,A,2025-06-17
AST00063,SJC01,AMER-West,Generator,Cummins,CUM-GEN-790,SN45575463,2020-04-04,2020-05-15,15,5.2,Good,76.6,High,2291,kW,779522,554326,Active,B,2025-05-02
AST00064,ATL01,AMER-East,PDU,Eaton,EAT-PDU-142,SN25183664,2020-09-18,2020-10-05,14,4.8,Good,95.9,High,161,Amps,83494,59638,Active,B,2025-06-21
AST00065,ATL01,AMER-East,Chiller,Trane,TRA-CHI-875,SN71295665,2019-03-28,2019-04-27,11,6.3,Warning,65.1,High,751,Tons,327869,171386,Active,C,2025-06-24
AST00066,ATL01,AMER-East,Generator,Cummins,CUM-GEN-214,SN60032866,2011-02-22,2011-03-05,15,14.4,Critical,48.7,High,1825,kW,437164,87432,Standby,B,2025-04-28
AST00067,ASH01,AMER-East,Cooling,Carrier,CAR-COO-376,SN32015667,2018-08-13,2018-09-22,10,6.9,Warning,64.6,Medium,436,Tons,83888,35652,Active,C,2025-06-17
AST00068,TOR01,AMER-Central,Generator,Kohler,KOH-GEN-291,SN21435268,2018-02-15,2018-03-26,15,7.4,Good,76.9,High,2571,kW,350640,206487,Active,B,2025-04-27
AST00069,ASH01,AMER-East,Chiller,Daikin,DAI-CHI-136,SN40695569,2015-11-14,2016-01-06,11,9.6,Warning,55.8,Medium,844,Tons,191180,52139,Standby,A,2025-06-24
AST00070,ATL01,AMER-East,Generator,Kohler,KOH-GEN-316,SN95488270,2016-05-15,2016-06-29,15,9.1,Warning,65.2,Low,2821,kW,914736,452286,Active,A,2025-06-27
AST00071,DAL01,AMER-Central,UPS,Vertiv,VER-UPS-798,SN66424271,2011-08-19,2011-10-11,12,13.9,Critical,32.6,Medium,645,kVA,285004,42750,Active,B,2025-06-14
AST00072,LAX01,AMER-West,UPS,Eaton,EAT-UPS-364,SN15916372,2021-06-03,2021-06-21,12,4.1,Good,87.9,Low,984,kVA,285967,204545,Active,A,2024-11-10
AST00073,SEA01,AMER-West,UPS,Eaton,EAT-UPS-168,SN72708373,2023-07-18,2023-08-16,12,2.0,Good,84.9,Low,1197,kVA,232202,199951,Active,A,2024-11-24
AST00074,SJC01,AMER-West,Cooling,Stulz,STU-COO-250,SN29777574,2019-12-16,2020-01-28,10,5.5,Warning,69.7,High,188,Tons,154780,83839,Active,A,2025-05-16
AST00075,SJC01,AMER-West,PDU,ABB,ABB-PDU-942,SN63108975,2018-03-02,2018-04-22,14,7.3,Warning,73.6,High,737,Amps,93136,52666,Active,C,2025-02-04
AST00076,PHX01,AMER-West,Cooling,Trane,TRA-COO-591,SN82795276,2012-08-11,2012-09-22,10,12.9,Critical,40.8,Medium,86,Tons,86677,13001,Active,B,2025-06-26
AST00077,CHI01,AMER-East,UPS,Schneider,SCH-UPS-264,SN41683777,2013-04-06,2013-04-29,12,12.2,Critical,40.8,High,749,kVA,258152,39439,Retired,C,
AST00078,DEN01,AMER-Central,Generator,Cummins,CUM-GEN-231,SN61792378,2013-08-17,2013-08-27,15,11.9,Warning,58.0,Low,2810,kW,483196,163749,Active,B,2025-06-18
AST00079,SJC01,AMER-West,UPS,Eaton,EAT-UPS-957,SN84907479,2018-01-02,2018-02-14,12,7.5,Critical,51.4,Medium,1399,kVA,176188,84423,Active,A,2025-03-06
AST00080,DAL01,AMER-Central,UPS,Eaton,EAT-UPS-853,SN76479580,2023-01-01,2023-01-25,12,2.5,Good,98.0,Medium,725,kVA,246542,203739,Active,A,2025-05-04
AST00081,MIA01,AMER-Central,Generator,Caterpillar,CAT-GEN-447,SN16162981,2013-10-16,2013-12-08,15,11.7,Warning,63.0,Medium,1823,kW,493920,172872,Active,C,2025-06-12
AST00082,SEA01,AMER-West,Chiller,Trane,TRA-CHI-216,SN47696582,2023-10-09,2023-11-26,11,1.7,Good,98.0,Medium,834,Tons,249695,217537,Active,C,2025-06-18
AST00083,SJC01,AMER-West,Chiller,Trane,TRA-CHI-312,SN29271483,2015-01-27,2015-03-09,11,10.4,Critical,46.1,Low,825,Tons,211362,44834,Active,B,2025-05-27
AST00084,SJC01,AMER-West,PDU,ABB,ABB-PDU-501,SN95815884,2019-08-14,2019-09-28,14,5.9,Good,76.1,High,805,Amps,86430,56076,Active,B,2025-06-28
AST00085,SEA01,AMER-West,UPS,Schneider,SCH-UPS-107,SN10933785,2013-09-15,2013-10-17,12,11.8,Warning,61.2,Medium,925,kVA,195787,35350,Active,B,2025-06-15
AST00086,ATL01,AMER-East,Cooling,Trane,TRA-COO-831,SN22701686,2011-06-24,2011-08-03,10,14.0,Critical,25.0,High,271,Tons,186790,28018,Active,A,2025-06-08
AST00087,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-851,SN18284487,2023-10-04,2023-10-21,15,1.7,Good,98.0,High,2581,kW,402402,364397,Active,A,2025-05-19
AST00088,CHI01,AMER-East,UPS,Eaton,EAT-UPS-489,SN49892988,2019-02-07,2019-04-03,12,6.4,Warning,60.2,Low,505,kVA,140990,78327,Active,C,2025-06-28
AST00089,SJC01,AMER-West,Generator,Cummins,CUM-GEN-341,SN41871489,2015-04-29,2015-06-17,15,10.2,Warning,67.5,High,2028,kW,805303,348964,Active,B,2025-03-17
AST00090,LAX01,AMER-West,PDU,ABB,ABB-PDU-473,SN12771290,2014-12-30,2015-01-21,14,10.5,Warning,57.8,Low,373,Amps,107292,40234,Active,B,2025-05-26
AST00091,SJC01,AMER-West,Generator,Cummins,CUM-GEN-788,SN93297291,2021-05-21,2021-06-27,15,4.1,Good,93.0,Medium,2633,kW,385570,297745,Active,A,2025-05-13
AST00092,DEN01,AMER-Central,Chiller,Daikin,DAI-CHI-484,SN10040492,2011-05-26,2011-07-17,11,14.1,Critical,26.9,Medium,667,Tons,394907,59236,Standby,C,2025-06-14
AST00093,LAX01,AMER-West,Generator,Kohler,KOH-GEN-870,SN15061293,2015-06-24,2015-07-21,15,10.0,Warning,74.8,Medium,1713,kW,443273,197010,Active,A,2025-05-16
AST00094,ASH01,AMER-East,UPS,Schneider,SCH-UPS-244,SN60696494,2021-06-10,2021-06-28,12,4.1,Good,82.8,Medium,706,kVA,128765,92102,Active,B,2025-05-13
AST00095,NYC01,AMER-East,Chiller,Trane,TRA-CHI-545,SN30115295,2015-08-11,2015-10-03,11,9.9,Critical,51.3,High,637,Tons,212193,53048,Active,A,2025-05-06
AST00096,DAL01,AMER-Central,Generator,Cummins,CUM-GEN-194,SN23831196,2019-05-13,2019-06-25,15,6.1,Good,81.2,High,3201,kW,788153,521056,Active,A,2025-06-23
AST00097,DAL01,AMER-Central,Chiller,York,YOR-CHI-405,SN66141997,2011-11-05,2011-11-10,11,13.7,Critical,40.4,Low,203,Tons,226884,34032,Active,A,2025-06-27
AST00098,ASH01,AMER-East,PDU,ABB,ABB-PDU-833,SN39977098,2018-04-26,2018-05-17,14,7.2,Warning,71.1,Low,773,Amps,64198,36684,Active,B,2025-06-06
AST00099,DAL01,AMER-Central,Generator,Kohler,KOH-GEN-677,SN58545099,2019-03-29,2019-05-23,15,6.3,Good,86.7,Low,3150,kW,885605,575643,Active,A,2025-04-08
AST00100,TOR01,AMER-Central,Generator,Caterpillar,CAT-GEN-837,SN106949100,2023-04-22,2023-06-15,15,2.2,Good,89.2,Low,3145,kW,942301,827130,Active,B,2025-03-03
AST00101,SJC01,AMER-West,PDU,Eaton,EAT-PDU-407,SN456600101,2013-09-20,2013-11-01,14,11.8,Warning,59.8,Medium,1133,Amps,87318,25987,Active,A,2025-06-16
AST00102,ASH01,AMER-East,PDU,ABB,ABB-PDU-858,SN807689102,2022-09-12,2022-11-06,14,2.8,Good,88.0,Medium,230,Amps,148196,123496,Active,C,2025-04-07
AST00103,DAL01,AMER-Central,UPS,Vertiv,VER-UPS-607,SN417267103,2010-05-18,2010-06-15,12,15.1,Critical,30.7,Medium,318,kVA,313777,47066,Active,B,2025-06-16
AST00104,ASH01,AMER-East,UPS,Vertiv,VER-UPS-225,SN529802104,2021-10-10,2021-11-26,12,3.7,Good,88.6,High,360,kVA,245286,182261,Standby,B,2024-10-05
AST00105,DAL01,AMER-Central,Cooling,Stulz,STU-COO-795,SN272312105,2019-06-08,2019-06-15,10,6.1,Warning,60.1,Medium,431,Tons,166570,81896,Active,C,2025-06-14
AST00106,DAL01,AMER-Central,Cooling,Carrier,CAR-COO-192,SN962129106,2011-10-29,2011-12-23,10,13.7,Critical,28.6,Medium,356,Tons,176195,26429,Active,C,2025-06-27
AST00107,NYC01,AMER-East,Chiller,York,YOR-CHI-445,SN848589107,2023-01-30,2023-03-09,11,2.4,Good,87.3,High,227,Tons,211865,173344,Active,B,2025-03-16
AST00108,LAX01,AMER-West,PDU,Schneider,SCH-PDU-146,SN274293108,2016-04-15,2016-06-05,14,9.2,Warning,56.6,High,499,Amps,64262,29070,Active,A,2025-06-06
AST00109,SJC01,AMER-West,UPS,Vertiv,VER-UPS-356,SN290471109,2021-05-06,2021-06-28,12,4.2,Good,80.0,High,968,kVA,201317,142599,Active,B,2025-02-22
AST00110,LAX01,AMER-West,Cooling,Trane,TRA-COO-573,SN915131110,2011-06-10,2011-07-07,10,14.1,Critical,25.0,High,157,Tons,109247,16387,Active,B,2025-06-06
AST00111,LAX01,AMER-West,UPS,Vertiv,VER-UPS-849,SN548874111,2010-12-31,2011-02-20,12,14.5,Critical,36.3,Medium,1055,kVA,195186,29277,Active,A,2025-06-22
AST00112,ASH01,AMER-East,UPS,Eaton,EAT-UPS-114,SN670559112,2015-03-22,2015-04-20,12,10.3,Critical,47.3,High,734,kVA,231339,65867,Active,B,2025-05-18
AST00113,SJC01,AMER-West,Cooling,Carrier,CAR-COO-185,SN550009113,2011-12-15,2012-02-01,10,13.5,Critical,34.1,Low,104,Tons,169592,25438,Active,B,2025-06-27
AST00114,DAL01,AMER-Central,UPS,Vertiv,VER-UPS-311,SN499384114,2019-11-06,2019-11-14,12,5.6,Good,75.9,High,316,kVA,172152,105204,Active,B,2025-06-28
AST00115,ASH01,AMER-East,Cooling,Stulz,STU-COO-569,SN835265115,2015-11-27,2016-01-17,10,9.6,Warning,65.2,High,343,Tons,146264,29252,Active,B,2025-06-04
AST00116,NYC01,AMER-East,Cooling,Stulz,STU-COO-712,SN294053116,2016-10-08,2016-12-03,10,8.7,Critical,47.8,Medium,361,Tons,113447,31197,Retired,A,
AST00117,NYC01,AMER-East,UPS,Vertiv,VER-UPS-840,SN521240117,2014-10-28,2014-12-04,12,10.7,Critical,50.9,High,911,kVA,206421,53038,Active,B,2025-06-24
AST00118,ASH01,AMER-East,Generator,Cummins,CUM-GEN-602,SN172303118,2014-05-25,2014-06-02,15,11.1,Critical,47.8,Medium,3397,kW,424990,162912,Active,B,2025-06-14
AST00119,ASH01,AMER-East,Generator,Cummins,CUM-GEN-647,SN895543119,2020-03-24,2020-04-28,15,5.3,Warning,63.0,Medium,1005,kW,926465,653672,Active,A,2025-06-13
AST00120,TOR01,AMER-Central,UPS,Vertiv,VER-UPS-831,SN784106120,2011-04-13,2011-04-21,12,14.2,Critical,39.7,High,895,kVA,202221,30333,Active,B,2025-06-18
AST00121,ASH01,AMER-East,Cooling,Trane,TRA-COO-293,SN625134121,2016-12-26,2017-01-10,10,8.5,Warning,59.0,High,105,Tons,111514,32524,Active,B,2025-05-11
AST00122,ASH01,AMER-East,UPS,Eaton,EAT-UPS-935,SN716210122,2013-02-15,2013-03-11,12,12.4,Critical,47.1,Medium,474,kVA,266659,39998,Active,C,2025-06-03
AST00123,CHI01,AMER-East,Cooling,Carrier,CAR-COO-753,SN341983123,2021-07-10,2021-08-21,10,4.0,Good,90.9,Low,372,Tons,66917,44611,Active,C,2025-04-26
AST00124,TOR01,AMER-Central,UPS,Eaton,EAT-UPS-610,SN886275124,2021-08-05,2021-08-22,12,3.9,Good,84.0,High,508,kVA,332353,242340,Standby,A,2024-11-09
AST00125,TOR01,AMER-Central,UPS,Schneider,SCH-UPS-712,SN208872125,2015-08-02,2015-08-23,12,9.9,Critical,50.4,High,1026,kVA,337754,105548,Active,A,2025-06-22
AST00126,CHI01,AMER-East,Generator,Caterpillar,CAT-GEN-649,SN529474126,2018-02-06,2018-03-12,15,7.4,Good,78.2,Medium,2118,kW,648432,381854,Active,B,2025-03-21
AST00127,NYC01,AMER-East,UPS,Eaton,EAT-UPS-236,SN820801127,2014-05-24,2014-06-09,12,11.1,Critical,51.7,High,762,kVA,226487,51903,Active,A,2025-04-19
AST00128,PHX01,AMER-West,Chiller,Daikin,DAI-CHI-671,SN237023128,2019-04-15,2019-05-18,11,6.2,Warning,64.8,Medium,378,Tons,375266,199004,Active,A,2025-05-18
AST00129,SJC01,AMER-West,Cooling,Stulz,STU-COO-177,SN599097129,2023-03-14,2023-03-22,10,2.3,Good,83.3,High,168,Tons,79060,63906,Active,A,2025-05-27
AST00130,ASH01,AMER-East,Generator,Cummins,CUM-GEN-188,SN618545130,2012-12-01,2013-01-14,15,12.6,Critical,49.0,Medium,2863,kW,319711,95913,Active,B,2025-05-02
AST00131,SJC01,AMER-West,Cooling,Carrier,CAR-COO-674,SN249646131,2020-04-20,2020-05-27,10,5.2,Good,76.4,Medium,232,Tons,132728,75212,Standby,C,2025-04-21
AST00132,LAX01,AMER-West,Cooling,Stulz,STU-COO-602,SN611937132,2013-06-02,2013-06-20,10,12.1,Critical,48.9,High,388,Tons,157263,23589,Active,B,2025-06-19
AST00133,SEA01,AMER-West,Generator,Caterpillar,CAT-GEN-678,SN196646133,2021-01-01,2021-02-25,15,4.5,Warning,67.5,Low,2471,kW,623054,467290,Active,C,2025-03-01
AST00134,LAX01,AMER-West,Generator,Kohler,KOH-GEN-577,SN502662134,2015-07-29,2015-08-29,15,9.9,Warning,73.7,Low,1419,kW,855644,385039,Active,A,2025-06-24
AST00135,SJC01,AMER-West,PDU,Schneider,SCH-PDU-510,SN313942135,2017-02-10,2017-03-19,14,8.4,Warning,72.8,High,345,Amps,64029,32014,Active,B,2025-04-11
AST00136,TOR01,AMER-Central,Cooling,Carrier,CAR-COO-621,SN465060136,2015-02-01,2015-02-15,10,10.4,Critical,49.9,High,432,Tons,111197,16679,Active,A,2025-06-24
AST00137,ATL01,AMER-East,PDU,Schneider,SCH-PDU-976,SN302967137,2017-10-24,2017-12-19,14,7.7,Critical,54.0,Medium,164,Amps,146532,79371,Active,C,2025-04-27
AST00138,ASH01,AMER-East,Generator,Cummins,CUM-GEN-360,SN226108138,2020-03-08,2020-04-28,15,5.3,Good,85.3,High,3371,kW,643339,453911,Standby,B,2025-03-20
AST00139,DEN01,AMER-Central,PDU,Eaton,EAT-PDU-854,SN437827139,2020-04-14,2020-05-24,14,5.2,Good,85.7,Medium,943,Amps,145420,100409,Active,B,2025-02-08
AST00140,ASH01,AMER-East,Cooling,Stulz,STU-COO-353,SN114153140,2021-03-30,2021-05-13,10,4.3,Good,85.8,Medium,117,Tons,209071,134153,Active,A,2025-06-27
AST00141,CHI01,AMER-East,Cooling,Carrier,CAR-COO-317,SN306988141,2012-03-25,2012-05-08,10,13.3,Critical,32.5,Medium,289,Tons,82368,12355,Active,A,2025-06-23
AST00142,ASH01,AMER-East,Cooling,Trane,TRA-COO-927,SN913738142,2014-06-28,2014-07-14,10,11.0,Critical,29.0,Medium,435,Tons,125279,18791,Active,A,2025-05-26
AST00143,LAX01,AMER-West,Generator,Caterpillar,CAT-GEN-703,SN820670143,2020-08-12,2020-08-25,15,4.9,Good,76.5,Medium,2013,kW,778716,566732,Active,A,2025-04-26
