work_order_id,asset_id,site_code,region,work_order_date,maintenance_type,failure_category,failure_subcategory,priority_level,technician_id,vendor_name,labor_hours,downtime_hours,parts_cost_usd,labor_cost_usd,repair_cost_usd,response_time_hours,resolution_time_hours,status,sla_breach_flag,repeat_failure_flag,year_month
WO0006919,AST00478,SEA01,AMER-West,2024-01-02,Corrective,Compressor,Bearing wear,P3,TECH0091,DataVolt,10.5,9.61,1153,1081,2339,0.47,14.13,Completed,1,1,2024-01
WO0003769,AST00271,DAL01,AMER-Central,2024-01-02,Preventive,Cooling Loop,Heat exchanger,P4,TECH0106,DataVolt,5.4,0.31,933,610,1692,8.48,14.02,Closed,0,0,2024-01
WO0005985,AST00412,DAL01,AMER-Central,2024-01-02,Corrective,Compressor,Bearing wear,P4,TECH0120,EcoCool,5.4,8.31,1927,772,2742,0.87,6.58,Completed,1,0,2024-01
WO0002860,AST00201,TOR01,AMER-Central,2024-01-02,Corrective,Sensor,Pressure sensor,P2,TECH0042,DataVolt,5.3,9.7,4185,720,4947,2.88,8.25,In Review,1,0,2024-01
WO0004759,AST00334,PHX01,AMER-West,2024-01-02,Preventive,Fuel System,Fuel leak,P2,TECH0106,ABB Services,10.0,0.8,600,880,1673,7.87,18.85,Completed,0,0,2024-01
WO0007748,AST00540,DAL01,AMER-Central,2024-01-03,Corrective,Sensor,Pressure sensor,P4,TECH0060,FacilityPro,16.8,7.32,3155,1881,5254,1.54,20.7,Completed,1,1,2024-01
WO0005576,AST00388,SJC01,AMER-West,2024-01-03,Preventive,Sensor,Temperature sensor,P2,TECH0031,CBRE Ops,3.9,0.65,1005,331,1616,9.34,15.32,Completed,0,0,2024-01
WO0006908,AST00477,NYC01,AMER-East,2024-01-03,Preventive,Battery,Battery bank,P1,TECH0041,EcoCool,5.8,1.81,153,794,1043,8.06,15.28,Completed,0,0,2024-01
WO0005869,AST00404,ATL01,AMER-East,2024-01-03,Corrective,Routine Wear,Seal wear,P4,TECH0108,Vertiv Services,8.7,6.79,1570,1131,3014,0.79,10.68,Completed,1,0,2024-01
WO0004602,AST00324,SJC01,AMER-West,2024-01-03,Preventive,Compressor,Start failure,P3,TECH0052,DataVolt,5.9,2.17,746,554,1462,9.74,18.08,Completed,0,0,2024-01
WO0000212,AST00013,CHI01,AMER-East,2024-01-03,Preventive,Battery,Battery bank,P3,TECH0050,Vertiv Services,7.9,1.54,520,687,1308,7.71,15.92,Completed,0,0,2024-01
WO0005907,AST00408,DAL01,AMER-Central,2024-01-03,Preventive,Routine Wear,Alignment,P4,TECH0011,FacilityPro,10.5,2.4,821,1281,2182,8.59,19.86,Completed,0,0,2024-01
WO0000870,AST00063,SJC01,AMER-West,2024-01-03,Preventive,Cooling Loop,Heat exchanger,P4,TECH0003,PowerGrid Mechanical,6.3,2.68,359,535,952,8.14,16.57,Completed,0,0,2024-01
WO0005423,AST00380,PHX01,AMER-West,2024-01-03,Corrective,Capacitor,Capacitor aging,P3,TECH0024,Vertiv Services,13.3,6.96,2073,1981,4244,1.23,15.2,Closed,1,1,2024-01
WO0003822,AST00274,ATL01,AMER-East,2024-01-04,Corrective,Routine Wear,Seal wear,P3,TECH0064,DataVolt,16.5,7.81,2908,2640,5879,2.39,22.95,Completed,1,1,2024-01
WO0002295,AST00162,ASH01,AMER-East,2024-01-04,Corrective,Routine Wear,Seal wear,P4,TECH0106,PowerGrid Mechanical,16.7,3.52,3267,2404,5721,1.54,19.3,Completed,0,0,2024-01
WO0003280,AST00229,DAL01,AMER-Central,2024-01-04,Preventive,Fan Motor,Bearing wear,P4,TECH0107,Schneider Services,3.4,4.03,530,414,1194,6.27,9.18,Completed,0,0,2024-01
WO0004855,AST00344,SJC01,AMER-West,2024-01-04,Corrective,Battery,Battery bank,P1,TECH0026,EcoCool,5.5,4.85,3404,665,4328,2.35,8.03,Completed,0,0,2024-01
WO0001551,AST00111,LAX01,AMER-West,2024-01-04,Corrective,Firmware,Patch gap,P3,TECH0051,CBRE Ops,20.0,2.65,2749,2520,5568,0.29,23.38,Completed,0,0,2024-01
WO0005707,AST00395,PHX01,AMER-West,2024-01-04,Corrective,Cooling Loop,Pump,P3,TECH0118,Schneider Services,22.2,4.3,3068,3529,6789,2.59,25.33,Completed,0,0,2024-01
WO0006117,AST00421,TOR01,AMER-Central,2024-01-04,Corrective,Routine Wear,Inspection finding,P3,TECH0006,Vertiv Services,11.5,7.38,2932,1380,4394,1.81,13.79,Completed,1,0,2024-01
WO0005554,AST00386,CHI01,AMER-East,2024-01-04,Corrective,Breaker,Trip event,P3,TECH0086,PowerGrid Mechanical,22.6,11.16,3061,3186,6383,1.38,24.58,Completed,1,0,2024-01
WO0002740,AST00193,DAL01,AMER-Central,2024-01-04,Corrective,Fan Motor,VFD issue,P2,TECH0090,FacilityPro,12.9,10.42,1776,1793,3922,1.79,17.03,Completed,1,0,2024-01
WO0007504,AST00519,PHX01,AMER-West,2024-01-04,Corrective,Routine Wear,Inspection finding,P2,TECH0098,CBRE Ops,14.4,4.86,2341,2044,4524,0.98,16.42,Completed,0,0,2024-01
WO0004726,AST00332,ASH01,AMER-East,2024-01-04,Corrective,Compressor,Bearing wear,P2,TECH0117,CBRE Ops,10.5,2.8,3999,1386,5561,0.2,13.15,Completed,0,0,2024-01
WO0005237,AST00367,ASH01,AMER-East,2024-01-04,Corrective,Valve,Valve blockage,P4,TECH0042,FacilityPro,4.2,7.99,2272,420,2822,0.2,4.85,Closed,1,0,2024-01
WO0006829,AST00469,SJC01,AMER-West,2024-01-04,Preventive,Fuel System,Fuel leak,P2,TECH0074,PowerGrid Mechanical,2.8,1.16,452,364,1081,8.21,11.77,Completed,0,0,2024-01
WO0002949,AST00207,TOR01,AMER-Central,2024-01-04,Corrective,Transformer,Oil temp rise,P1,TECH0094,Schneider Services,12.8,7.53,4733,2009,6956,3.35,16.89,Completed,1,0,2024-01
WO0006325,AST00434,LAX01,AMER-West,2024-01-04,Corrective,Routine Wear,Alignment,P4,TECH0039,Vertiv Services,14.7,6.39,3765,1793,5782,3.72,17.88,Closed,1,1,2024-01
WO0005883,AST00405,SEA01,AMER-West,2024-01-04,Corrective,Routine Wear,Alignment,P3,TECH0032,DataVolt,30.2,6.17,3564,3382,6996,3.26,36.78,Completed,1,0,2024-01
WO0003954,AST00284,TOR01,AMER-Central,2024-01-04,Corrective,Sensor,Flow sensor,P4,TECH0090,PowerGrid Mechanical,15.5,9.45,2388,2294,5068,2.31,18.82,Completed,1,0,2024-01
WO0000910,AST00066,ATL01,AMER-East,2024-01-05,Corrective,Battery,Battery connector,P1,TECH0115,DataVolt,23.5,10.42,6533,3055,9855,1.37,26.45,Completed,1,0,2024-01
WO0001755,AST00124,TOR01,AMER-Central,2024-01-05,Preventive,Rectifier,Voltage imbalance,P3,TECH0084,ABB Services,10.6,1.32,764,985,1974,8.67,18.07,Completed,0,0,2024-01
WO0004876,AST00347,NYC01,AMER-East,2024-01-05,Preventive,Battery,Battery connector,P3,TECH0086,EcoCool,5.4,2.42,934,610,1701,8.24,17.4,Completed,0,0,2024-01
WO0007615,AST00527,ATL01,AMER-East,2024-01-05,Preventive,Sensor,Pressure sensor,P3,TECH0092,EcoCool,5.2,1.65,309,639,1175,8.43,15.94,In Review,0,0,2024-01
WO0000357,AST00024,MIA01,AMER-Central,2024-01-05,Preventive,Valve,Valve leak,P2,TECH0001,ABB Services,6.1,2.45,555,689,1599,11.37,16.72,Closed,0,0,2024-01
WO0003240,AST00228,DEN01,AMER-Central,2024-01-05,Preventive,Sensor,Flow sensor,P4,TECH0010,FacilityPro,6.6,0.82,469,706,1215,9.76,16.93,Closed,0,0,2024-01
WO0003186,AST00224,SEA01,AMER-West,2024-01-05,Preventive,Valve,Valve leak,P2,TECH0061,CBRE Ops,6.6,1.89,715,858,1740,6.74,14.75,Completed,0,0,2024-01
WO0005298,AST00372,DAL01,AMER-Central,2024-01-05,Corrective,Routine Wear,Seal wear,P3,TECH0067,CBRE Ops,10.9,7.36,2909,1536,4525,1.44,13.09,Closed,1,0,2024-01
WO0005261,AST00369,CHI01,AMER-East,2024-01-05,Corrective,Firmware,Sensor mapping,P2,TECH0061,DataVolt,7.7,8.14,3831,908,4964,1.27,8.87,Closed,1,0,2024-01
WO0006977,AST00481,SEA01,AMER-West,2024-01-05,Corrective,Fuel System,Fuel leak,P3,TECH0072,ABB Services,8.6,5.34,6721,963,8038,4.3,14.31,Closed,0,0,2024-01
WO0004795,AST00338,CHI01,AMER-East,2024-01-05,Corrective,Cable,Insulation wear,P3,TECH0093,Schneider Services,12.4,4.47,3011,1512,4902,0.61,16.03,Completed,0,1,2024-01
WO0005391,AST00378,TOR01,AMER-Central,2024-01-05,Corrective,Routine Wear,Seal wear,P3,TECH0027,FacilityPro,8.8,1.36,1499,1135,2746,2.77,12.69,Closed,0,1,2024-01
WO0002053,AST00144,SJC01,AMER-West,2024-01-05,Preventive,Transformer,Insulation aging,P3,TECH0082,FacilityPro,4.4,3.25,598,576,1540,9.03,15.57,Closed,0,0,2024-01
WO0003309,AST00231,SEA01,AMER-West,2024-01-05,Corrective,Sensor,Pressure sensor,P1,TECH0041,DataVolt,6.1,8.94,2731,994,3776,2.87,10.0,Completed,1,1,2024-01
WO0001559,AST00111,LAX01,AMER-West,2024-01-05,Preventive,Firmware,Patch gap,P4,TECH0048,ABB Services,6.4,2.04,215,652,988,7.32,14.0,Closed,0,0,2024-01
WO0003682,AST00264,NYC01,AMER-East,2024-01-05,Preventive,Battery,Battery bank,P1,TECH0114,FacilityPro,10.4,0.83,492,1112,1881,6.89,18.7,Closed,0,0,2024-01
WO0003690,AST00265,DAL01,AMER-Central,2024-01-05,Corrective,Routine Wear,Seal wear,P2,TECH0114,DataVolt,12.1,8.55,5063,1718,7115,1.05,15.54,Completed,1,0,2024-01
WO0006326,AST00434,LAX01,AMER-West,2024-01-05,Corrective,Routine Wear,Alignment,P2,TECH0098,EcoCool,12.5,6.15,2790,1650,4819,1.63,14.77,Completed,1,0,2024-01
WO0005743,AST00397,PHX01,AMER-West,2024-01-05,Preventive,Rectifier,Power board,P3,TECH0075,Schneider Services,5.8,1.7,123,655,1054,10.12,16.35,Completed,0,0,2024-01
WO0005653,AST00392,DAL01,AMER-Central,2024-01-05,Preventive,Cooling Loop,Pump,P3,TECH0038,CBRE Ops,3.7,2.35,135,473,814,8.56,14.58,Completed,0,0,2024-01
WO0003923,AST00282,DAL01,AMER-Central,2024-01-05,Preventive,Transformer,Oil temp rise,P2,TECH0024,EcoCool,7.0,2.84,536,798,1646,7.44,15.05,Completed,0,0,2024-01
WO0003423,AST00241,ASH01,AMER-East,2024-01-06,Corrective,Transformer,Insulation aging,P3,TECH0048,DataVolt,12.2,9.51,2034,1744,4119,0.66,13.84,Closed,1,0,2024-01
WO0005790,AST00401,MIA01,AMER-Central,2024-01-06,Corrective,Routine Wear,Inspection finding,P3,TECH0100,Vertiv Services,10.1,7.86,2720,1141,3922,1.32,11.77,Completed,1,0,2024-01
WO0001091,AST00079,SJC01,AMER-West,2024-01-06,Preventive,Routine Wear,Alignment,P2,TECH0070,PowerGrid Mechanical,9.9,3.19,658,841,1646,10.34,21.43,Completed,0,0,2024-01
WO0000560,AST00043,MIA01,AMER-Central,2024-01-06,Corrective,Routine Wear,Inspection finding,P2,TECH0077,Schneider Services,19.0,4.38,2643,2907,5799,0.2,22.21,Completed,0,0,2024-01
WO0004787,AST00337,SJC01,AMER-West,2024-01-06,Corrective,Transformer,Oil temp rise,P2,TECH0101,EcoCool,8.7,0.75,4063,1270,5643,0.2,9.85,Completed,0,0,2024-01
WO0005177,AST00363,SJC01,AMER-West,2024-01-06,Preventive,Routine Wear,Alignment,P4,TECH0109,Schneider Services,6.3,2.94,317,800,1202,9.06,16.26,Closed,0,0,2024-01
WO0002978,AST00209,MIA01,AMER-Central,2024-01-06,Preventive,Capacitor,Bulge,P3,TECH0116,EcoCool,11.3,2.93,805,1502,2577,8.56,20.75,Closed,0,0,2024-01
WO0004112,AST00295,SEA01,AMER-West,2024-01-06,Corrective,Routine Wear,Alignment,P2,TECH0059,ABB Services,17.7,8.31,3803,2619,6767,1.44,21.47,Completed,1,1,2024-01
WO0002038,AST00142,ASH01,AMER-East,2024-01-06,Corrective,Routine Wear,Inspection finding,P3,TECH0020,CBRE Ops,2.0,8.49,5702,222,6016,0.31,4.33,Completed,1,0,2024-01
WO0000610,AST00046,LAX01,AMER-West,2024-01-06,Preventive,Routine Wear,Seal wear,P2,TECH0029,FacilityPro,5.1,1.71,1137,433,1829,9.52,16.53,Completed,0,0,2024-01
WO0005345,AST00374,NYC01,AMER-East,2024-01-06,Corrective,Routine Wear,Alignment,P2,TECH0060,Vertiv Services,13.8,5.25,3778,1904,5937,0.27,16.07,Closed,0,0,2024-01
WO0007556,AST00523,NYC01,AMER-East,2024-01-06,Preventive,Fan Motor,VFD issue,P4,TECH0047,ABB Services,5.7,3.99,950,513,1848,10.77,17.33,Completed,0,0,2024-01
WO0005007,AST00355,LAX01,AMER-West,2024-01-06,Corrective,Valve,Actuator fault,P3,TECH0044,FacilityPro,11.8,4.77,4376,1652,6103,1.78,16.6,Closed,0,0,2024-01
WO0003096,AST00220,SJC01,AMER-West,2024-01-06,Corrective,Sensor,Pressure sensor,P4,TECH0014,Vertiv Services,26.9,10.47,4381,4142,8921,1.54,28.51,Completed,1,1,2024-01
WO0007160,AST00497,CHI01,AMER-East,2024-01-06,Corrective,Sensor,Flow sensor,P4,TECH0030,CBRE Ops,23.0,2.25,4046,3243,7687,2.81,27.45,Completed,0,0,2024-01
WO0003494,AST00250,DAL01,AMER-Central,2024-01-06,Preventive,Routine Wear,Inspection finding,P3,TECH0045,Schneider Services,8.7,3.34,478,765,1487,9.95,20.24,Completed,0,0,2024-01
WO0000914,AST00066,ATL01,AMER-East,2024-01-06,Corrective,Controller,PLC fault,P3,TECH0059,DataVolt,24.9,7.11,3829,3137,7201,1.5,27.23,Completed,1,0,2024-01
WO0006335,AST00434,LAX01,AMER-West,2024-01-06,Corrective,Fan Motor,VFD issue,P4,TECH0083,EcoCool,21.4,10.87,4196,2546,6852,0.2,23.77,Closed,1,1,2024-01
WO0007596,AST00527,ATL01,AMER-East,2024-01-06,Preventive,Sensor,Flow sensor,P3,TECH0094,PowerGrid Mechanical,2.7,0.73,556,324,1048,11.09,13.6,Completed,0,0,2024-01
WO0005434,AST00380,PHX01,AMER-West,2024-01-07,Preventive,Routine Wear,Inspection finding,P4,TECH0087,FacilityPro,5.1,0.99,60,581,1031,10.19,15.72,Completed,0,0,2024-01
WO0003958,AST00285,LAX01,AMER-West,2024-01-07,Preventive,Cooling Loop,Coolant leak,P3,TECH0010,Schneider Services,5.5,2.56,473,550,1159,8.28,14.72,Completed,0,0,2024-01
WO0001245,AST00090,LAX01,AMER-West,2024-01-07,Preventive,Sensor,Flow sensor,P3,TECH0081,CBRE Ops,7.8,0.5,926,811,1925,7.96,18.28,In Review,0,0,2024-01
WO0003288,AST00230,ASH01,AMER-East,2024-01-07,Corrective,Rectifier,Power board,P3,TECH0081,Schneider Services,13.5,8.49,3119,1350,4726,0.57,15.92,Completed,1,0,2024-01
WO0006213,AST00425,DAL01,AMER-Central,2024-01-07,Preventive,Transformer,Oil temp rise,P2,TECH0111,Schneider Services,5.2,1.15,634,582,1487,7.5,13.81,Closed,0,0,2024-01
WO0005754,AST00397,PHX01,AMER-West,2024-01-07,Corrective,Firmware,Communication timeout,P4,TECH0026,CBRE Ops,15.8,3.01,2700,1943,4715,0.2,17.69,Completed,0,0,2024-01
WO0002151,AST00153,DEN01,AMER-Central,2024-01-07,Preventive,Compressor,Compressor vibration,P3,TECH0041,ABB Services,4.7,0.3,341,606,1089,6.65,11.68,Completed,0,0,2024-01
WO0003668,AST00264,NYC01,AMER-East,2024-01-07,Preventive,Battery,Battery bank,P3,TECH0058,FacilityPro,8.5,2.36,770,833,1983,8.7,18.21,Completed,0,0,2024-01
WO0000702,AST00053,CHI01,AMER-East,2024-01-07,Preventive,Battery,Battery bank,P3,TECH0036,ABB Services,5.8,3.29,903,620,1598,7.07,14.74,In Review,0,0,2024-01
WO0001812,AST00128,PHX01,AMER-West,2024-01-07,Preventive,Cooling Loop,Coolant leak,P3,TECH0049,Schneider Services,6.4,1.17,716,691,1643,7.97,14.88,Completed,0,0,2024-01
WO0003315,AST00231,SEA01,AMER-West,2024-01-07,Corrective,Sensor,Temperature sensor,P2,TECH0004,EcoCool,14.9,6.54,3598,2354,6096,0.2,17.26,Completed,1,1,2024-01
WO0007222,AST00500,TOR01,AMER-Central,2024-01-07,Preventive,Battery,Cell degradation,P3,TECH0036,ABB Services,8.0,3.05,944,904,2002,8.67,18.28,Completed,0,0,2024-01
WO0006708,AST00464,ATL01,AMER-East,2024-01-07,Corrective,Valve,Valve blockage,P3,TECH0063,CBRE Ops,14.2,7.59,2554,1633,4414,1.84,17.55,Completed,1,1,2024-01
WO0006963,AST00481,SEA01,AMER-West,2024-01-07,Preventive,Fuel System,Fuel pump,P3,TECH0112,Vertiv Services,8.9,1.76,487,925,1472,9.77,18.61,Completed,0,0,2024-01
WO0003088,AST00219,SJC01,AMER-West,2024-01-08,Corrective,Compressor,Start failure,P3,TECH0073,Vertiv Services,8.6,3.65,3216,1014,4458,1.52,13.24,Completed,0,0,2024-01
WO0003415,AST00240,NYC01,AMER-East,2024-01-08,Corrective,Firmware,Patch gap,P2,TECH0118,CBRE Ops,10.7,6.19,3690,1701,5698,3.53,16.22,Completed,1,0,2024-01
WO0000741,AST00055,ASH01,AMER-East,2024-01-08,Corrective,Capacitor,Bulge,P3,TECH0063,ABB Services,23.3,6.05,2503,2865,5509,1.96,26.22,Completed,1,1,2024-01
WO0005263,AST00369,CHI01,AMER-East,2024-01-08,Corrective,Rectifier,Power board,P3,TECH0088,CBRE Ops,11.9,2.81,1721,1582,3640,1.36,16.45,Completed,0,0,2024-01
WO0005788,AST00400,ASH01,AMER-East,2024-01-08,Preventive,Firmware,Communication timeout,P3,TECH0008,Vertiv Services,7.6,0.3,635,782,1566,8.73,20.05,Completed,0,0,2024-01
WO0000899,AST00065,ATL01,AMER-East,2024-01-08,Corrective,Sensor,Temperature sensor,P3,TECH0021,ABB Services,11.9,6.66,3495,1416,5093,1.95,15.44,Closed,1,0,2024-01
WO0003828,AST00274,ATL01,AMER-East,2024-01-08,Corrective,Rectifier,Rectifier module,P3,TECH0095,DataVolt,5.8,5.56,3264,591,3964,2.46,8.14,Completed,1,0,2024-01
WO0007561,AST00523,NYC01,AMER-East,2024-01-08,Corrective,Routine Wear,Inspection finding,P3,TECH0012,FacilityPro,25.1,7.5,4189,3187,7730,1.0,25.38,Completed,1,0,2024-01
WO0005697,AST00394,TOR01,AMER-Central,2024-01-08,Corrective,Fan Motor,Motor overheating,P3,TECH0116,FacilityPro,16.2,9.19,3602,1960,5742,0.34,17.24,Closed,1,1,2024-01
WO0006680,AST00463,SJC01,AMER-West,2024-01-08,Corrective,Routine Wear,Inspection finding,P3,TECH0042,Vertiv Services,5.3,10.71,2851,789,3827,3.15,9.81,Closed,1,0,2024-01
WO0000248,AST00015,ASH01,AMER-East,2024-01-08,Preventive,Cooling Loop,Heat exchanger,P3,TECH0069,EcoCool,7.0,1.03,668,651,1557,8.12,15.19,In Review,0,0,2024-01
WO0002474,AST00176,ASH01,AMER-East,2024-01-08,Corrective,Rectifier,Voltage imbalance,P4,TECH0036,FacilityPro,16.1,6.77,3547,1932,5799,1.11,18.41,Completed,1,1,2024-01
WO0005042,AST00356,NYC01,AMER-East,2024-01-08,Corrective,Routine Wear,Alignment,P3,TECH0095,FacilityPro,12.7,5.82,2419,1905,4489,4.5,18.31,Completed,1,0,2024-01
WO0004181,AST00299,SJC01,AMER-West,2024-01-09,Preventive,Transformer,Tap changer,P3,TECH0030,DataVolt,3.6,1.14,915,450,1722,7.37,12.21,In Review,0,0,2024-01
WO0007574,AST00524,PHX01,AMER-West,2024-01-09,Corrective,Routine Wear,Alignment,P4,TECH0023,DataVolt,8.7,7.02,2470,869,3425,0.2,9.44,Completed,1,0,2024-01
WO0002087,AST00147,ATL01,AMER-East,2024-01-09,Corrective,Transformer,Insulation aging,P2,TECH0028,DataVolt,14.8,4.69,1865,2027,4238,0.99,18.46,Completed,0,0,2024-01
WO0005171,AST00362,DAL01,AMER-Central,2024-01-09,Preventive,Compressor,Bearing wear,P4,TECH0074,EcoCool,5.1,2.97,766,561,1609,9.28,14.78,In Review,0,0,2024-01
